# Magnetic material data,,,,,,,,,,,,,,,
# Each row defines one Steinmetz segment for a material.,,,,,,,,,,,,,,,
# A material is shown in the bar charts only when the entered frequency,,,,,,,,,,,,,,,
# falls within at least one of its freq_min/freq_max ranges.,,,,,,,,,,,,,,,
# Multiple rows for the same material = piecewise Steinmetz.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Core loss model:  Pv [kW/m^3] = k ¬∑ f[kHz]^alpha ¬∑ B[mT]^beta,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
material,mu,bsat_mT,freq_min_kHz,freq_max_kHz,k-25,alpha-25,beta-25,k-100,alpha-100,beta-100,type,manufacturer,notes,datasheet,Tags
67,40,230,2000,20000,9.93E-06,1.378637087,2.103123741,7.14E-06,1.399627486,2.226820672,NiZn,Fair-Rite,,https://fair-rite.com/67-material-data-sheet/,flat-temp
61,125,250,2000,15000,9.63E-08,1.757517408,2.791886396,,,,NiZn,Fair-Rite,,https://fair-rite.com/61-material-data-sheet/,
80,600,450,1000,4000,3.12E-09,2.160691076,2.447278103,5.72E-09,2.158681999,2.434887233,MnZn,Fair-Rite,,https://fair-rite.com/80-material-data-sheet/,
79,1400,460,100,1000,1.35E-06,1.359127986,2.57719005,4.37E-08,1.83472211,2.7068575,MnZn,Fair-Rite,,https://fair-rite.com/79-material-data-sheet/,loss-min-60C
77,2000,510,10,400,2.94E-05,1.13976213,2.284773897,9.08E-06,1.355137893,2.331386606,MnZn,Fair-Rite,,https://fair-rite.com/77-material-data-sheet/,
97,2000,500,50,400,,,,1.05E-07,1.788769629,2.579362423,MnZn,Fair-Rite,,https://fair-rite.com/97-material-data-sheet/,min-loss-100C
78,2300,480,25,500,9.61E-06,1.22102554,2.351568413,1.19E-06,1.471047926,2.50075738,MnZn,Fair-Rite,,https://fair-rite.com/78-material-data-sheet/,
98,2400,500,50,400,,,,3.18E-07,1.350324259,2.584129172,MnZn,Fair-Rite,,https://fair-rite.com/98-material-data-sheet/,min-loss-100C
95,3000,500,25,500,4.66E-06,1.287133188,2.331275305,1.51E-06,1.339615186,2.518450017,MnZn,Fair-Rite,,https://fair-rite.com/95-material-data-sheet/,flat-temp
96,3300,500,50,500,5.02E-07,1.533812735,2.476423817,1.60E-07,1.685726541,2.600398906,MnZn,Fair-Rite,,https://fair-rite.com/96-material-data-sheet/,"high-temp, flat-temp"
N27,2000,500,10,200,7.62E-05,1.170417169,2.07984166,1.64E-05,1.153328977,2.405297856,MnZn,TDK,"low cost, hi-power",https://www.tdk-electronics.tdk.com/download/528850/3a7f957d754f899aec42cd946598c5c4/pdf-n27.pdf,low-cost
N41,2800,490,10,100,2.42E-05,1.531146572,2.056646904,,,,MnZn,TDK,current transformer,https://www.tdk-electronics.tdk.com/download/528876/07f8fe5e7fb654a26dc779e207a5de15/pdf-n41.pdf,
N51,3000,480,25,100,1.65E-06,1.239673938,2.576391281,1.49E-06,1.344750915,2.592762661,MnZn,TDK,loss min. @ 40°C,https://www.tdk-electronics.tdk.com/download/528840/956e4358867968c72a6f3dc4fb7da68e/pdf-n51.pdf,loss-min-40c
N87,2200,490,25,500,2.71E-06,1.393320191,2.454107578,1.64E-07,1.764794605,2.518300358,MnZn,TDK,standard,https://www.tdk-electronics.tdk.com/download/528882/d6940b239127a8bab71b22168746021b/pdf-n87.pdf,
N88,1900,510,25,500,4.98E-05,1.10498836,2.17801864,1.21E-06,1.489659698,2.432824226,MnZn,TDK,loss min. @ 140°C,https://www.tdk-electronics.tdk.com/download/528890/cee245ee621a6b10bd5897f906870869/pdf-n88.pdf,"loss-min-140c, high-temp"
N95,3000,525,50,500,1.11E-06,1.697717339,2.252392656,4.26E-08,2.11348402,2.431971794,MnZn,TDK,flat temperature behavior,https://www.tdk-electronics.tdk.com/download/528866/0fe9e667e8e8afa649f776a2a5a7eb0a/pdf-n95.pdf,flat-temp
N96,2900,500,50,1000,1.29E-08,2.319570112,2.331695368,2.59E-09,2.471797623,2.552851904,MnZn,TDK,flat temperature behavior,https://www.tdk-electronics.tdk.com/download/528892/62108148dfc602168d141f831c2914e8/pdf-n96.pdf,flat-temp
N97,2300,510,50,1000,3.39E-06,1.554569038,2.236886407,4.62E-08,2.028488535,2.472139968,MnZn,TDK,,https://www.tdk-electronics.tdk.com/download/528886/81166f0de556e5b6a94db7793daed936/pdf-n97.pdf,
N49,1500,490,10,1000,3.91E-06,0.887925333,2.942289454,3.92E-07,1.011995381,3.350001197,MnZn,TDK,lower losses,https://www.tdk-electronics.tdk.com/download/528856/c44cc4ec800e9f6f22a8068409c85b4f/pdf-n49.pdf,
PC200,800,480,500,4000,2.32E-12,2.80269173,3.256277548,6.51E-11,2.426255715,3.199833594,MnZn,TDK,frequency up to 4 MHz,https://www.tdk-electronics.tdk.com/download/2111336/c9ebf1c6b4bfad22c1dd74fa43409dea/pdf-pc200.pdf,
